ID,AgeClass,GeneralArea,Sex,Species
MF01,Adult,Elevenmile,F,PEPE
MF02,Subadult,GPR,F,PEPE
MF03,Subadult,GPR,F,PEPE
MF04,Adult,Moss/ Hodgdon,F,PEPE
MF05,Adult,Moss/Hazel Green,F,PEPE
MF06,Subadult,Valley,F,PEPE
MM01,Adult,Moss/Merced,M,PEPE
MM02,Juvenile,Summit,M,PEPE
MM03,Juvenile,Summit,M,PEPE
MM04,Juvenile,Summit,M,PEPE
MM05,Adult,South Gate,M,PEPE
MM06,Adult,Moss/Tuolumne,M,PEPE
MM07,Subadult,GPR,M,PEPE
MM08,Adult,Elevenmile,M,PEPE
MM09,Adult,Moss,M,PEPE
MM10,Juvenile,South Gate,M,PEPE
MM11,Adult,GPR,M,PEPE
