DeviceID,AnimalID,In_Service,Out_Service,Start_Method,Stop_Method
33468,MM02,2021-10-17 15:35:00,NA,capture,
33467,MM03,2021-10-18 16:19:00,NA,capture,
33454,MM04,2021-10-19 15:46:00,2022-01-13 13:08:00,capture,capture
33508,MM05,2021-10-31 13:32:00,2022-02-09 12:55:00,capture,capture
33456,MF01,2021-11-19 14:03:50,NA,capture,
33452,MF02,2021-11-23 14:53:00,2021-12-08 13:35:00,capture,recovered
33459,MF03,2021-11-24 14:31:00,2022-02-12 14:45:00,capture,recovered
33469,MM07,2021-11-24 18:33:00,NA,capture,
33507,MM08,2021-11-24 18:18:00,2022-03-05 13:26:00,capture,capture
33506,MM09,2022-01-22 13:41:00,NA,capture,
33465,MF04,2022-01-13 15:15:00,2022-02-14 12:24:00,capture,capture
33448,MF05,2022-01-15 14:38:00,NA,capture,
33512,MM06,2021-10-31 15:35:00,2022-01-16 13:52:00,capture,capture
33510,MM06,2022-01-16 15:01:00,NA,capture,
33463,MF06,2022-01-27 13:47:00,2022-02-19 15:30:00,capture,recovered
33504,MM05,2022-02-09 13:31:00,NA,capture,
33982,MM04,2022-02-14 13:57:00,NA,capture,
259186,MF04,2022-03-02 13:08:00,NA,capture,
33983,MM08,2022-03-05 14:16:00,NA,capture,
33984,MM11,2022-03-07 13:28:00,NA,capture,
