Product Type: Litetrack RF-40
Product ID: 33452
Firmware Version: V8.107.0

GMT Time,ODBA,Temperature [C]
11/23/2021 9:40:00 PM,140,8.5
11/23/2021 9:45:00 PM,10,7.0
11/23/2021 9:50:00 PM,7,5.0
11/23/2021 9:55:00 PM,14,4.5
11/23/2021 10:00:00 PM,7,4.0
11/23/2021 10:05:00 PM,7,3.5
11/23/2021 10:10:00 PM,96,7.5
11/23/2021 10:15:00 PM,288,13.0
11/23/2021 10:20:00 PM,405,19.5
11/23/2021 10:25:00 PM,28,14.0
11/23/2021 10:30:00 PM,7,10.0
11/23/2021 10:35:00 PM,322,13.0
11/23/2021 10:40:00 PM,173,18.0
11/23/2021 10:45:00 PM,54,22.5
11/23/2021 10:50:00 PM,141,23.0
11/23/2021 10:55:00 PM,112,21.5
11/23/2021 11:00:00 PM,228,22.5
11/23/2021 11:05:00 PM,326,20.5
11/23/2021 11:10:00 PM,277,21.5
11/23/2021 11:15:00 PM,208,24.0
11/23/2021 11:20:00 PM,196,22.5
11/23/2021 11:25:00 PM,138,24.5
11/23/2021 11:30:00 PM,92,26.5
11/23/2021 11:35:00 PM,11,28.0
11/23/2021 11:40:00 PM,140,26.5
11/23/2021 11:45:00 PM,19,26.5
11/23/2021 11:50:00 PM,89,27.5
11/23/2021 11:55:00 PM,16,30.5
11/24/2021 12:00:00 AM,649,21.5
11/24/2021 12:05:00 AM,846,14.5
11/24/2021 12:10:00 AM,386,18.5
11/24/2021 12:15:00 AM,140,24.5
11/24/2021 12:20:00 AM,31,28.0
11/24/2021 12:25:00 AM,8,29.0
11/24/2021 12:30:00 AM,52,33.0
11/24/2021 12:35:00 AM,7,34.5
11/24/2021 12:40:00 AM,14,35.0
11/24/2021 12:45:00 AM,9,36.0
11/24/2021 12:50:00 AM,15,36.0
11/24/2021 12:55:00 AM,101,35.0
11/24/2021 1:00:00 AM,20,35.5
11/24/2021 1:05:00 AM,7,34.5
11/24/2021 1:10:00 AM,8,34.5
11/24/2021 1:15:00 AM,9,34.5
11/24/2021 1:20:00 AM,23,34.0
11/24/2021 1:25:00 AM,37,34.0
11/24/2021 1:30:00 AM,13,34.0
11/24/2021 1:35:00 AM,9,34.5
11/24/2021 1:40:00 AM,43,35.0
11/24/2021 1:45:00 AM,11,35.5
11/24/2021 1:50:00 AM,8,36.0
11/24/2021 1:55:00 AM,8,36.0
11/24/2021 2:00:00 AM,9,36.0
11/24/2021 2:05:00 AM,37,36.0
11/24/2021 2:10:00 AM,10,36.0
11/24/2021 2:15:00 AM,36,36.0
11/24/2021 2:20:00 AM,23,35.0
11/24/2021 2:25:00 AM,7,35.0
11/24/2021 2:30:00 AM,22,35.0
11/24/2021 2:35:00 AM,22,35.0
11/24/2021 2:40:00 AM,7,35.5
11/24/2021 2:45:00 AM,7,35.5
11/24/2021 2:50:00 AM,7,35.5
11/24/2021 2:55:00 AM,40,34.5
11/24/2021 3:00:00 AM,11,34.0
11/24/2021 3:05:00 AM,13,34.0
11/24/2021 3:10:00 AM,14,34.0
11/24/2021 3:15:00 AM,8,34.5
11/24/2021 3:20:00 AM,7,35.0
11/24/2021 3:25:00 AM,10,35.0
11/24/2021 3:30:00 AM,35,35.5
11/24/2021 3:35:00 AM,9,35.5
11/24/2021 3:40:00 AM,8,35.5
11/24/2021 3:45:00 AM,8,36.0
11/24/2021 3:50:00 AM,8,36.0
11/24/2021 3:55:00 AM,13,36.0
